2016/11/22 17:35:41 [error] 7#7: *85 open() "/home/s/web/com/steven-luong/sqlitemanager/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /sqlitemanager/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *86 open() "/home/s/web/com/steven-luong/SQlite/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /SQlite/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *87 open() "/home/s/web/com/steven-luong/SQLiteManager/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /SQLiteManager/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *88 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 149.202.72.240, server: , request: "GET / HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *89 open() "/home/s/web/com/steven-luong/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET //wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *90 open() "/home/s/web/com/steven-luong/wordpress/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /wordpress/wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *91 open() "/home/s/web/com/steven-luong/wp/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /wp/wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *92 open() "/home/s/web/com/steven-luong/blog/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /blog/wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *93 open() "/home/s/web/com/steven-luong/Wordpress/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /Wordpress/wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *94 open() "/home/s/web/com/steven-luong/Blog/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /Blog/wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:51:30 [error] 7#7: *95 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 138.68.77.133, server: , request: "GET http://www.depacelectro.com/ HTTP/1.1", host: "www.depacelectro.com"
2016/11/22 18:15:55 [error] 6#6: *96 open() "/home/s/web/com/steven-luong/robots.txt" failed (2: No such file or directory), client: 68.180.229.92, server: , request: "GET /robots.txt HTTP/1.1", host: "slapps.fr:8888"
2016/11/22 18:15:55 [error] 6#6: *97 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 68.180.229.92, server: , request: "GET / HTTP/1.1", host: "slapps.fr:8888"
2016/11/22 19:28:12 [error] 7#7: *98 open() "/home/s/web/com/steven-luong/robots.txt" failed (2: No such file or directory), client: 157.55.39.13, server: , request: "GET /robots.txt HTTP/1.1", host: "slapps.fr"
2016/11/22 19:47:46 [error] 7#7: *101 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 138.68.77.133, server: , request: "GET http://www.depacelectro.com/ HTTP/1.1", host: "www.depacelectro.com"
2016/11/23 00:22:55 [error] 6#6: *102 open() "/home/s/web/com/steven-luong/jmx-console" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /jmx-console HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 00:22:55 [error] 6#6: *103 open() "/home/s/web/com/steven-luong/script" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /script HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 00:22:55 [error] 7#7: *104 open() "/home/s/web/com/steven-luong/jenkins/script" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /jenkins/script HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 00:22:55 [error] 6#6: *105 open() "/home/s/web/com/steven-luong/hudson/script" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /hudson/script HTTP/1.1", host: "91.121.13.22:8888"
